target,best_model,r2,rmse,dir_acc,n_oos_periods,top_feature,top_feature_abs_coefficient
y_IWM,quantile,0.04135330534142023,0.08771483885271793,0.6685393258426966,178,cpi_yoy,0.004621396231182766
y_QQQ,quantile,-0.012724196286275857,0.07746589431570061,0.7808988764044944,178,yield_curve,0.0
y_SPY,quantile,0.03197915248477001,0.060370491494236324,0.7584269662921348,178,vol_6m,0.0014410861704385806
