date,gross_return,turnover,transaction_cost,net_return,active
2020-09-30,0.170006,0.0,0.0,0.170006,1
2020-10-31,0.194695,0.0,0.0,0.194695,1
2020-11-30,0.097707,0.0,0.0,0.097707,1
2020-12-31,0.067076,0.0,0.0,0.067076,1
2021-01-31,0.09608,0.0,0.0,0.09608,1
2021-02-28,0.06638,0.0,0.0,0.06638,1
2021-03-31,0.0751,0.0,0.0,0.0751,1
2021-04-30,0.037995,0.0,0.0,0.037995,1
2021-05-31,0.069751,0.0,0.0,0.069751,1
2021-06-30,-0.009215,0.0,0.0,-0.009215,1
2021-07-31,0.047374,0.0,0.0,0.047374,1
2021-08-31,0.005699,0.0,0.0,0.005699,1
2021-09-30,0.07723,0.0,0.0,0.07723,1
2021-10-31,-0.06646,0.0,0.0,-0.06646,1
2021-11-30,-0.077421,0.0,0.0,-0.077421,1
2021-12-31,-0.072453,0.0,0.0,-0.072453,1
2022-01-31,-0.104558,0.0,0.0,-0.104558,1
2022-02-28,-0.086666,0.0,0.0,-0.086666,1
2022-03-31,-0.080475,0.666667,0.000333,-0.080808,1
2022-04-30,-0.000585,0.0,0.0,-0.000585,1
2022-05-31,-0.020062,0.0,0.0,-0.020062,1
2022-06-30,-0.024978,0.0,0.0,-0.024978,1
2022-07-31,-0.056439,0.0,0.0,-0.056439,1
2022-08-31,-0.00298,0.0,0.0,-0.00298,1
2022-09-30,0.00378,0.0,0.0,0.00378,1
2022-10-31,0.022757,0.0,0.0,0.022757,1
2022-11-30,-0.009892,0.0,0.0,-0.009892,1
2022-12-31,0.095581,0.666667,0.000333,0.095248,1
2023-01-31,0.011256,0.0,0.0,0.011256,1
2023-02-28,0.050839,0.0,0.0,0.050839,1
2023-03-31,0.092204,0.0,0.0,0.092204,1
2023-04-30,0.134392,0.0,0.0,0.134392,1
2023-05-31,0.082463,0.0,0.0,0.082463,1
2023-06-30,-0.038388,0.0,0.0,-0.038388,1
2023-07-31,-0.119669,0.0,0.0,-0.119669,1
2023-08-31,0.000885,0.0,0.0,0.000885,1
